component,mr_group,intercept,slack,slope_basis
crops,produce:alfalfa_irrigated:region0032_c2,3.1688,0,
crops,produce:alfalfa_irrigated:region0032_c3,3.23199,0,
crops,produce:alfalfa_irrigated:region0035_c0,2.96005,0,
crops,produce:alfalfa_irrigated:region0035_c1,3.32429,0,
crops,produce:alfalfa_irrigated:region0035_c2,3.15692,0,
crops,produce:alfalfa_irrigated:region0035_c3,3.37319,0,
crops,produce:alfalfa_irrigated:region0036_c1,3.20501,0,
crops,produce:alfalfa_irrigated:region0039_c0,3.54584,0,
crops,produce:alfalfa_irrigated:region0039_c1,3.52438,0,
crops,produce:alfalfa_irrigated:region0039_c2,3.45639,0,
crops,produce:alfalfa_irrigated:region0039_c3,3.35766,0,
crops,produce:alfalfa_irrigated:region0040_c0,3.00099,0,
crops,produce:alfalfa_irrigated:region0040_c1,3.24358,0,
crops,produce:alfalfa_irrigated:region0040_c2,3.35694,0,
crops,produce:alfalfa_irrigated:region0040_c3,3.2643,0,
crops,produce:alfalfa_irrigated:region0041_c0,3.47143,0,
crops,produce:alfalfa_irrigated:region0041_c1,3.35115,0,
crops,produce:alfalfa_irrigated:region0041_c2,3.33718,0,
crops,produce:alfalfa_irrigated:region0041_c3,3.28916,0,
crops,produce:alfalfa_irrigated:region0044_c0,3.12814,0,
crops,produce:alfalfa_irrigated:region0044_c1,3.33367,0,
crops,produce:alfalfa_irrigated:region0044_c2,3.31082,0,
crops,produce:alfalfa_irrigated:region0044_c3,3.49948,0,
crops,produce:alfalfa_irrigated:region0045_c0,3.60424,0,
crops,produce:alfalfa_irrigated:region0045_c1,3.56358,0,
crops,produce:alfalfa_irrigated:region0045_c2,3.58126,0,
crops,produce:alfalfa_irrigated:region0045_c3,3.21676,0,
crops,produce:alfalfa_irrigated:region0047_c0,2.99267,0,
crops,produce:alfalfa_irrigated:region0047_c1,3.0409,0,
crops,produce:alfalfa_irrigated:region0047_c2,2.95834,0,
crops,produce:alfalfa_irrigated:region0047_c3,3.05987,0,
crops,produce:alfalfa_irrigated:region0050_c0,1.85781,0,
crops,produce:alfalfa_irrigated:region0056_c0,2.64276,0,
crops,produce:alfalfa_irrigated:region0056_c1,3.32701,0,
crops,produce:alfalfa_irrigated:region0056_c2,3.41188,0,
crops,produce:alfalfa_irrigated:region0056_c3,3.60028,0,
crops,produce:alfalfa_irrigated:region0059_c0,2.81151,0,
crops,produce:alfalfa_irrigated:region0059_c1,3.12553,0,
crops,produce:alfalfa_irrigated:region0059_c2,3.12931,0,
crops,produce:alfalfa_irrigated:region0059_c3,3.38546,0,
crops,produce:alfalfa_irrigated:region0060_c0,3.16109,0,
crops,produce:alfalfa_irrigated:region0060_c1,3.22512,0,
crops,produce:alfalfa_irrigated:region0061_c0,3.30423,0,
crops,produce:alfalfa_irrigated:region0061_c1,3.16524,0,
crops,produce:alfalfa_irrigated:region0061_c2,3.18599,0,
crops,produce:alfalfa_irrigated:region0061_c3,3.23978,0,
crops,produce:alfalfa_irrigated:region0063_c0,2.7373,0,
crops,produce:alfalfa_irrigated:region0063_c1,2.62772,0,
crops,produce:alfalfa_irrigated:region0063_c2,2.71485,0,
crops,produce:alfalfa_irrigated:region0066_c1,3.86212,0,
crops,produce:alfalfa_irrigated:region0066_c2,3.73859,0,
crops,produce:alfalfa_irrigated:region0067_c0,2.77881,0,
crops,produce:alfalfa_irrigated:region0067_c1,2.77389,0,
crops,produce:alfalfa_irrigated:region0067_c2,2.81357,0,
crops,produce:alfalfa_irrigated:region0067_c3,2.75179,0,
crops,produce:alfalfa_irrigated:region0068_c0,2.93995,0,
crops,produce:alfalfa_irrigated:region0068_c1,2.78567,0,
crops,produce:alfalfa_irrigated:region0068_c2,2.89149,0,
crops,produce:alfalfa_irrigated:region0068_c3,3.12861,0,
crops,produce:alfalfa_irrigated:region0070_c0,2.57914,0,
crops,produce:alfalfa_irrigated:region0070_c1,2.60986,0,
crops,produce:alfalfa_irrigated:region0070_c2,2.91847,0,
crops,produce:alfalfa_irrigated:region0070_c3,2.88019,0,
crops,produce:alfalfa_irrigated:region0072_c0,2.47445,0,
crops,produce:alfalfa_irrigated:region0072_c1,2.84005,0,
crops,produce:alfalfa_irrigated:region0072_c2,2.84614,0,
crops,produce:alfalfa_irrigated:region0072_c3,3.09852,0,
crops,produce:alfalfa_irrigated:region0073_c0,-100,0,
crops,produce:alfalfa_irrigated:region0073_c1,-29.7247,0,
crops,produce:alfalfa_irrigated:region0073_c2,-35.6293,0,
crops,produce:alfalfa_irrigated:region0073_c3,-40.3753,0,
crops,produce:alfalfa_irrigated:region0074_c0,-0.375307,0,
crops,produce:alfalfa_irrigated:region0074_c1,-0.204332,0,
crops,produce:alfalfa_irrigated:region0074_c2,-0.0685989,0,
crops,produce:alfalfa_irrigated:region0074_c3,0.138213,0,
crops,produce:alfalfa_irrigated:region0076_c0,-53.2616,0,
crops,produce:alfalfa_irrigated:region0076_c1,-77.0277,0,
crops,produce:alfalfa_irrigated:region0076_c2,-100,-1.19466e-08,
crops,produce:alfalfa_irrigated:region0076_c3,-82.9881,0,
crops,produce:alfalfa_irrigated:region0079_c0,0.708745,0,
crops,produce:alfalfa_irrigated:region0079_c1,0.657842,0,
crops,produce:alfalfa_irrigated:region0079_c2,0.678364,0,
crops,produce:alfalfa_irrigated:region0079_c3,0.651756,0,
crops,produce:alfalfa_irrigated:region0080_c0,0.44998,0,
crops,produce:alfalfa_irrigated:region0080_c1,0.571733,0,
crops,produce:alfalfa_irrigated:region0080_c2,0.566169,0,
crops,produce:alfalfa_irrigated:region0080_c3,0.63774,0,
crops,produce:alfalfa_irrigated:region0083_c0,-99.4991,0,
crops,produce:alfalfa_irrigated:region0083_c1,-16.0607,0,
crops,produce:alfalfa_irrigated:region0083_c2,-43.9566,0,
crops,produce:alfalfa_irrigated:region0083_c3,-24.59,0,
crops,produce:alfalfa_irrigated:region0085_c0,0.0137765,0,
crops,produce:alfalfa_irrigated:region0085_c1,0.0474576,0,
crops,produce:alfalfa_irrigated:region0085_c2,0.0477328,0,
crops,produce:alfalfa_irrigated:region0085_c3,0.0734612,0,
crops,produce:alfalfa_irrigated:region0087_c0,-0.369835,0,
crops,produce:alfalfa_irrigated:region0087_c1,0.0257998,0,
crops,produce:alfalfa_irrigated:region0087_c2,0.180005,0,
crops,produce:alfalfa_irrigated:region0088_c0,-0.0700726,0,
crops,produce:alfalfa_irrigated:region0088_c1,-0.0541689,0,
crops,produce:alfalfa_irrigated:region0088_c2,-0.0860947,0,
crops,produce:alfalfa_irrigated:region0088_c3,-0.07001,0,
crops,produce:alfalfa_irrigated:region0089_c0,0.0539303,0,
crops,produce:alfalfa_irrigated:region0089_c1,0.0438302,0,
crops,produce:alfalfa_irrigated:region0089_c2,-0.0261643,0,
crops,produce:alfalfa_irrigated:region0089_c3,0.482075,0,
crops,produce:alfalfa_irrigated:region0090_c0,-0.282742,0,
crops,produce:alfalfa_irrigated:region0090_c1,0.0520277,0,
crops,produce:alfalfa_irrigated:region0090_c2,0.0167299,0,
crops,produce:alfalfa_irrigated:region0090_c3,0.107132,0,
crops,produce:alfalfa_irrigated:region0130_c0,-68.5158,0,
crops,produce:alfalfa_irrigated:region0139_c0,1.23841,0,
crops,produce:alfalfa_irrigated:region0139_c2,1.26069,0,
crops,produce:alfalfa_irrigated:region0140_c2,-0.832686,0,
crops,produce:alfalfa_irrigated:region0140_c3,-0.834003,0,
crops,produce:alfalfa_irrigated:region0141_c0,-69.6684,0,
crops,produce:alfalfa_irrigated:region0141_c1,-83.7478,0,
crops,produce:alfalfa_irrigated:region0141_c2,-88.5621,0,
crops,produce:alfalfa_irrigated:region0141_c3,-99.1858,0,
crops,produce:alfalfa_irrigated:region0144_c3,-1.88936,0,
crops,produce:alfalfa_irrigated:region0148_c3,-100,0,
crops,produce:alfalfa_irrigated:region0150_c0,-100,0,
crops,produce:alfalfa_irrigated:region0153_c0,-100,0,
crops,produce:alfalfa_irrigated:region0153_c1,-100,0,
crops,produce:alfalfa_irrigated:region0153_c2,-0.0436749,0,
crops,produce:alfalfa_irrigated:region0153_c3,0.143741,0,
crops,produce:alfalfa_irrigated:region0154_c0,-100,0,
crops,produce:alfalfa_irrigated:region0154_c1,-100,0,
crops,produce:alfalfa_irrigated:region0154_c2,-100,0,
crops,produce:alfalfa_irrigated:region0154_c3,-100,0,
crops,produce:alfalfa_irrigated:region0156_c0,-100,0,
crops,produce:alfalfa_irrigated:region0156_c1,-100,0,
crops,produce:alfalfa_irrigated:region0156_c2,-100,0,
crops,produce:alfalfa_irrigated:region0156_c3,-100,0,
crops,produce:alfalfa_irrigated:region0157_c0,0.0466412,0,
crops,produce:alfalfa_irrigated:region0157_c1,-0.0374909,0,
crops,produce:alfalfa_irrigated:region0157_c2,-100,0,
crops,produce:alfalfa_irrigated:region0157_c3,-100,0,
crops,produce:alfalfa_irrigated:region0159_c0,0.0405839,0,
crops,produce:alfalfa_irrigated:region0159_c1,0.054382,0,
crops,produce:alfalfa_irrigated:region0159_c2,0.0470537,0,
crops,produce:alfalfa_irrigated:region0159_c3,0.00673278,0,
crops,produce:alfalfa_irrigated:region0163_c0,-100,0,
crops,produce:alfalfa_irrigated:region0163_c1,-100,0,
crops,produce:alfalfa_irrigated:region0163_c2,-100,0,
crops,produce:alfalfa_irrigated:region0163_c3,-100,0,
crops,produce:alfalfa_irrigated:region0164_c0,-0.0309567,0,
crops,produce:alfalfa_irrigated:region0164_c1,0.0082239,0,
crops,produce:alfalfa_irrigated:region0164_c2,-0.0252666,0,
crops,produce:alfalfa_irrigated:region0164_c3,0.000832841,0,
crops,produce:alfalfa_irrigated:region0165_c0,-100,0,
crops,produce:alfalfa_irrigated:region0165_c1,-100,0,
crops,produce:alfalfa_irrigated:region0165_c2,-100,0,
crops,produce:alfalfa_irrigated:region0165_c3,-100,0,
crops,produce:alfalfa_irrigated:region0166_c0,0.0732834,0,
crops,produce:alfalfa_irrigated:region0166_c1,0.0824918,0,
crops,produce:alfalfa_irrigated:region0166_c3,0.158601,0,
crops,produce:alfalfa_irrigated:region0167_c0,-100,0,
crops,produce:alfalfa_irrigated:region0167_c1,-0.0603446,0,
crops,produce:alfalfa_irrigated:region0167_c2,0.032992,0,
crops,produce:alfalfa_irrigated:region0167_c3,0.169935,0,
crops,produce:alfalfa_irrigated:region0168_c0,-100,0,
crops,produce:alfalfa_irrigated:region0168_c2,-100,0,
crops,produce:alfalfa_irrigated:region0168_c3,-100,0,
crops,produce:alfalfa_irrigated:region0169_c2,0.346446,0,
crops,produce:alfalfa_irrigated:region0169_c3,0.291627,0,
crops,produce:alfalfa_irrigated:region0170_c0,-100,0,
crops,produce:alfalfa_irrigated:region0170_c1,-100,0,
crops,produce:alfalfa_irrigated:region0170_c2,-100,0,
crops,produce:alfalfa_irrigated:region0170_c3,0.280894,0,
crops,produce:alfalfa_irrigated:region0171_c2,-100,0,
crops,produce:alfalfa_irrigated:region0171_c3,-100,0,
crops,produce:alfalfa_irrigated:region0173_c3,-100,0,
crops,produce:alfalfa_irrigated:region0174_c0,-100,0,
crops,produce:alfalfa_irrigated:region0174_c1,-100,0,
crops,produce:alfalfa_irrigated:region0174_c2,-100,0,
crops,produce:alfalfa_irrigated:region0174_c3,-100,0,
crops,produce:alfalfa_irrigated:region0198_c2,0.135476,0,
crops,produce:alfalfa_irrigated:region0198_c3,0.462004,0,
crops,produce:alfalfa_irrigated:region0203_c0,-0.0264396,0,
crops,produce:alfalfa_irrigated:region0203_c1,-0.00811621,0,
crops,produce:alfalfa_irrigated:region0203_c2,0.0338876,0,
crops,produce:alfalfa_irrigated:region0203_c3,0.152989,0,
crops,produce:alfalfa_irrigated:region0204_c0,-100,0,
crops,produce:alfalfa_irrigated:region0204_c1,-42.0213,0,
crops,produce:alfalfa_irrigated:region0204_c2,-47.7866,0,
crops,produce:alfalfa_irrigated:region0204_c3,-63.4368,0,
crops,produce:alfalfa_irrigated:region0205_c0,-0.150491,0,
crops,produce:alfalfa_irrigated:region0205_c2,2.63665,0,
crops,produce:alfalfa_irrigated:region0205_c3,3.47263,0,
crops,produce:alfalfa_irrigated:region0206_c0,-100,0,
crops,produce:alfalfa_irrigated:region0206_c1,0.680269,0,
crops,produce:alfalfa_irrigated:region0206_c2,0.924037,0,
crops,produce:alfalfa_irrigated:region0206_c3,1.42826,0,
crops,produce:alfalfa_irrigated:region0207_c0,1.4226,0,
crops,produce:alfalfa_irrigated:region0207_c1,2.15087,0,
crops,produce:alfalfa_irrigated:region0207_c2,2.17303,0,
crops,produce:alfalfa_irrigated:region0207_c3,2.28021,0,
crops,produce:alfalfa_irrigated:region0208_c0,0.998197,0,
crops,produce:alfalfa_irrigated:region0208_c1,1.62693,0,
crops,produce:alfalfa_irrigated:region0208_c2,2.06288,0,
crops,produce:alfalfa_irrigated:region0208_c3,2.27588,0,
crops,produce:alfalfa_irrigated:region0209_c0,-51.2412,0,
crops,produce:alfalfa_irrigated:region0209_c1,-51.8878,0,
crops,produce:alfalfa_irrigated:region0209_c2,-53.0515,0,
crops,produce:alfalfa_irrigated:region0209_c3,-55.5712,0,
crops,produce:alfalfa_irrigated:region0210_c0,-100,0,
crops,produce:alfalfa_irrigated:region0210_c1,-48.9256,0,
crops,produce:alfalfa_irrigated:region0210_c2,-50.7509,0,
crops,produce:alfalfa_irrigated:region0210_c3,-50.589,0,
crops,produce:alfalfa_irrigated:region0211_c0,-100,0,
crops,produce:alfalfa_irrigated:region0211_c1,-100,0,
crops,produce:alfalfa_irrigated:region0211_c2,-100,0,
crops,produce:alfalfa_irrigated:region0211_c3,-100,0,
crops,produce:alfalfa_irrigated:region0212_c0,-46.0752,0,
crops,produce:alfalfa_irrigated:region0212_c1,-45.4811,0,
crops,produce:alfalfa_irrigated:region0212_c2,-48.6974,0,
crops,produce:alfalfa_irrigated:region0212_c3,-100,0,
crops,produce:alfalfa_irrigated:region0213_c0,-33.5001,0,
crops,produce:alfalfa_irrigated:region0213_c1,-47.0037,0,
crops,produce:alfalfa_irrigated:region0213_c2,-51.7833,0,
crops,produce:alfalfa_irrigated:region0213_c3,-52.9621,0,
crops,produce:alfalfa_irrigated:region0214_c0,-44.1659,0,
crops,produce:alfalfa_irrigated:region0214_c1,-52.303,0,
crops,produce:alfalfa_irrigated:region0214_c2,-53.2051,0,
crops,produce:alfalfa_irrigated:region0214_c3,-57.0583,0,
crops,produce:alfalfa_irrigated:region0215_c0,-46.3122,0,
crops,produce:alfalfa_irrigated:region0215_c1,-52.1832,0,
crops,produce:alfalfa_irrigated:region0215_c2,-52.3491,0,
crops,produce:alfalfa_irrigated:region0215_c3,-53.1567,0,
crops,produce:alfalfa_irrigated:region0216_c0,-42.5769,0,
crops,produce:alfalfa_irrigated:region0216_c1,-46.3527,0,
crops,produce:alfalfa_irrigated:region0216_c2,-100,0,
crops,produce:alfalfa_irrigated:region0216_c3,-49.6612,0,
crops,produce:alfalfa_irrigated:region0217_c2,-100,0,
crops,produce:alfalfa_irrigated:region0217_c3,-100,0,
crops,produce:alfalfa_irrigated:region0218_c2,-100,0,
crops,produce:alfalfa_irrigated:region0218_c3,-100,0,
crops,produce:alfalfa_irrigated:region0219_c0,-100,0,
crops,produce:alfalfa_irrigated:region0219_c1,-100,0,
crops,produce:alfalfa_irrigated:region0219_c2,-100,0,
crops,produce:alfalfa_irrigated:region0220_c0,-100,0,
crops,produce:alfalfa_irrigated:region0220_c1,-100,0,
crops,produce:alfalfa_irrigated:region0220_c2,-100,0,
crops,produce:alfalfa_irrigated:region0220_c3,-100,0,
crops,produce:alfalfa_irrigated:region0221_c0,-100,0,
crops,produce:alfalfa_irrigated:region0221_c1,-100,0,
crops,produce:alfalfa_irrigated:region0221_c2,-100,0,
crops,produce:alfalfa_irrigated:region0221_c3,-47.5342,0,
crops,produce:alfalfa_irrigated:region0222_c0,-100,0,
crops,produce:alfalfa_irrigated:region0222_c1,-100,0,
crops,produce:alfalfa_irrigated:region0222_c2,-100,0,
crops,produce:alfalfa_irrigated:region0222_c3,-100,0,
crops,produce:alfalfa_irrigated:region0223_c0,-44.8623,0,
crops,produce:alfalfa_irrigated:region0223_c1,-73.7325,0,
crops,produce:alfalfa_irrigated:region0223_c2,-70.7398,0,
crops,produce:alfalfa_irrigated:region0223_c3,-76.5221,0,
crops,produce:alfalfa_irrigated:region0224_c0,-100,0,
crops,produce:alfalfa_irrigated:region0226_c0,-100,0,
crops,produce:alfalfa_irrigated:region0226_c1,-100,0,
crops,produce:alfalfa_irrigated:region0226_c2,-100,0,
crops,produce:alfalfa_irrigated:region0226_c3,-57.3769,0,
crops,produce:alfalfa_irrigated:region0227_c0,-100,0,
crops,produce:alfalfa_irrigated:region0227_c1,-62.6285,0,
crops,produce:alfalfa_irrigated:region0227_c2,-83.1565,0,
crops,produce:alfalfa_irrigated:region0227_c3,-89.0458,0,
crops,produce:alfalfa_irrigated:region0228_c0,-35.1726,0,
crops,produce:alfalfa_irrigated:region0228_c1,-48.0462,0,
crops,produce:alfalfa_irrigated:region0228_c2,-58.7074,0,
crops,produce:alfalfa_irrigated:region0228_c3,-71.8214,0,
crops,produce:alfalfa_irrigated:region0230_c3,-100,0,
crops,produce:alfalfa_irrigated:region0231_c0,-100,0,
crops,produce:alfalfa_irrigated:region0231_c1,-100,0,
crops,produce:alfalfa_irrigated:region0231_c2,-63.7889,0,
crops,produce:alfalfa_irrigated:region0231_c3,-79.0632,0,
crops,produce:alfalfa_irrigated:region0232_c0,-30.2097,0,
crops,produce:alfalfa_irrigated:region0232_c1,-100,0,
crops,produce:alfalfa_irrigated:region0232_c2,-100,0,
crops,produce:alfalfa_irrigated:region0232_c3,-68.0573,0,
crops,produce:alfalfa_irrigated:region0233_c0,-50.9401,0,
crops,produce:alfalfa_irrigated:region0233_c1,-60.0452,0,
crops,produce:alfalfa_irrigated:region0233_c2,-57.4037,0,
crops,produce:alfalfa_irrigated:region0233_c3,-69.3912,0,
crops,produce:alfalfa_irrigated:region0236_c0,-100,0,
crops,produce:alfalfa_irrigated:region0236_c1,-100,0,
crops,produce:alfalfa_irrigated:region0236_c2,-100,0,
crops,produce:alfalfa_irrigated:region0236_c3,-49.8025,0,
crops,produce:alfalfa_irrigated:region0237_c0,-100,0,
crops,produce:alfalfa_irrigated:region0237_c1,-100,0,
crops,produce:alfalfa_irrigated:region0237_c2,-100,0,
crops,produce:alfalfa_irrigated:region0237_c3,-100,0,
crops,produce:alfalfa_irrigated:region0240_c0,-100,0,
crops,produce:alfalfa_irrigated:region0240_c1,-100,0,
crops,produce:alfalfa_irrigated:region0240_c2,-100,0,
crops,produce:alfalfa_irrigated:region0240_c3,-99.2495,0,
crops,produce:alfalfa_irrigated:region0241_c0,-83.7553,0,
crops,produce:alfalfa_irrigated:region0241_c1,-94.3112,0,
crops,produce:alfalfa_irrigated:region0241_c2,-97.3995,0,
crops,produce:alfalfa_irrigated:region0241_c3,-99.2795,0,
crops,produce:alfalfa_irrigated:region0242_c0,-89.0795,0,
crops,produce:alfalfa_irrigated:region0242_c1,-95.8946,0,
crops,produce:alfalfa_irrigated:region0242_c2,-96.409,0,
crops,produce:alfalfa_irrigated:region0242_c3,-97.9827,0,
crops,produce:alfalfa_irrigated:region0243_c0,-38.0293,0,
crops,produce:alfalfa_irrigated:region0243_c1,-54.5169,0,
crops,produce:alfalfa_irrigated:region0243_c2,-58.7102,0,
crops,produce:alfalfa_irrigated:region0243_c3,-61.1776,0,
crops,produce:alfalfa_irrigated:region0244_c0,-100,0,
crops,produce:alfalfa_irrigated:region0244_c1,-100,0,
crops,produce:alfalfa_irrigated:region0244_c2,-62.5723,0,
crops,produce:alfalfa_irrigated:region0244_c3,-73.7912,0,
crops,produce:alfalfa_irrigated:region0245_c0,-82.8692,0,
crops,produce:alfalfa_irrigated:region0245_c1,-84.133,0,
crops,produce:alfalfa_irrigated:region0245_c2,-99.2495,0,
crops,produce:alfalfa_irrigated:region0245_c3,-88.1411,0,
crops,produce:alfalfa_irrigated:region0246_c0,-60.6427,0,
crops,produce:alfalfa_irrigated:region0246_c1,-69.9703,0,
crops,produce:alfalfa_irrigated:region0246_c2,-68.6836,0,
crops,produce:alfalfa_irrigated:region0246_c3,-68.806,0,
crops,produce:alfalfa_irrigated:region0247_c0,-60.7681,0,
crops,produce:alfalfa_irrigated:region0247_c1,-63.2285,0,
crops,produce:alfalfa_irrigated:region0247_c2,-64.3333,0,
crops,produce:alfalfa_irrigated:region0247_c3,-71.0188,0,
crops,produce:alfalfa_irrigated:region0248_c0,-53.1118,0,
crops,produce:alfalfa_irrigated:region0248_c1,-52.532,0,
crops,produce:alfalfa_irrigated:region0248_c2,-52.9345,0,
crops,produce:alfalfa_irrigated:region0248_c3,-59.4577,0,
crops,produce:alfalfa_irrigated:region0249_c0,-82.561,0,
crops,produce:alfalfa_irrigated:region0249_c1,-81.7031,0,
crops,produce:alfalfa_irrigated:region0249_c2,-79.2537,0,
crops,produce:alfalfa_irrigated:region0249_c3,-80.5333,0,
crops,produce:alfalfa_irrigated:region0250_c0,-59.155,0,
crops,produce:alfalfa_irrigated:region0250_c1,-63.6791,0,
crops,produce:alfalfa_irrigated:region0250_c2,-80.1037,0,
crops,produce:alfalfa_irrigated:region0250_c3,-79.9688,0,
crops,produce:alfalfa_irrigated:region0251_c0,-83.3201,0,
crops,produce:alfalfa_irrigated:region0251_c1,-88.195,0,
crops,produce:alfalfa_irrigated:region0251_c2,-90.1725,0,
crops,produce:alfalfa_irrigated:region0251_c3,-91.3644,0,
crops,produce:alfalfa_irrigated:region0252_c0,-69.7312,0,
crops,produce:alfalfa_irrigated:region0252_c1,-72.5726,0,
crops,produce:alfalfa_irrigated:region0252_c2,-68.1811,0,
crops,produce:alfalfa_irrigated:region0252_c3,-66.3371,0,
crops,produce:alfalfa_irrigated:region0253_c0,-72.6816,0,
crops,produce:alfalfa_irrigated:region0253_c1,-75.0665,0,
crops,produce:alfalfa_irrigated:region0253_c2,-76.5054,0,
crops,produce:alfalfa_irrigated:region0253_c3,-78.3794,0,
crops,produce:alfalfa_irrigated:region0254_c0,-84.8051,0,
crops,produce:alfalfa_irrigated:region0254_c1,-84.0431,0,
crops,produce:alfalfa_irrigated:region0254_c2,-99.2621,0,
crops,produce:alfalfa_irrigated:region0254_c3,-85.8521,0,
crops,produce:alfalfa_irrigated:region0255_c0,-69.0575,0,
crops,produce:alfalfa_irrigated:region0255_c1,-76.4168,0,
crops,produce:alfalfa_irrigated:region0255_c2,-74.8439,0,
crops,produce:alfalfa_irrigated:region0255_c3,-74.6307,0,
crops,produce:alfalfa_irrigated:region0256_c0,-83.4436,0,
crops,produce:alfalfa_irrigated:region0256_c1,-84.422,0,
crops,produce:alfalfa_irrigated:region0256_c2,-89.5012,0,
crops,produce:alfalfa_irrigated:region0256_c3,-89.7187,0,
crops,produce:alfalfa_irrigated:region0257_c0,-74.6286,0,
crops,produce:alfalfa_irrigated:region0257_c1,-83.7208,0,
